Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2023-11-02 20:28:35,"Leg Day🦵",58min,"Leg Press",1,257.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Leg Press",3,327.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",1,90.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",4,90.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",2,90.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",5,90.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",3,100.0,9.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Calf Press on Leg Press",4,397.0,16.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Calf Press on Leg Press",2,347.0,18.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Calf Press on Leg Press",3,347.0,18.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Calf Press on Leg Press",1,327.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Leg Extension (Machine)",2,80.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Leg Extension (Machine)",3,80.0,13.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Leg Extension (Machine)",1,70.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bench Press (Barbell)",3,95.0,8.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bench Press (Barbell)",2,95.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bench Press (Barbell)",1,65.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bench Press (Barbell)",4,95.0,10.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Lateral Raise (Dumbbell)",3,10.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Lateral Raise (Dumbbell)",2,10.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Lateral Raise (Dumbbell)",1,10.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bicep Curl (Cable)",3,30.0,10.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bicep Curl (Cable)",2,30.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bicep Curl (Cable)",1,35.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Triceps Extension",3,45.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Triceps Extension",1,35.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Triceps Extension",2,40.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Lat Pulldown (Cable)",1,70.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Lat Pulldown (Cable)",3,85.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Lat Pulldown (Cable)",2,75.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Bench Press (Barbell)",1,65.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Bench Press (Barbell)",2,95.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Bench Press (Barbell)",4,95.0,7.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Bench Press (Barbell)",3,95.0,8.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Triceps Extension",1,45.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Triceps Extension",4,45.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Triceps Extension",3,50.0,11.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Triceps Extension",2,45.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Incline Curl (Dumbbell)",3,20.0,8.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Incline Curl (Dumbbell)",1,20.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Incline Curl (Dumbbell)",2,20.0,11.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Shoulder Press (Machine)",3,50.0,10.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Shoulder Press (Machine)",2,55.0,9.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Shoulder Press (Machine)",1,55.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Lateral Raise (Dumbbell)",1,10.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Lateral Raise (Dumbbell)",3,8.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Lateral Raise (Dumbbell)",2,10.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Chest Fly",3,90.0,5.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Chest Fly",2,90.0,8.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Chest Fly",4,80.0,7.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Chest Fly",1,70.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Seated Row (Cable)",3,70.0,7.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Seated Row (Cable)",2,75.0,8.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Seated Row (Cable)",1,70.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Bicep Curl (Cable)",1,12.5,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Bicep Curl (Cable)",2,12.5,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Bicep Curl (Cable)",3,12.5,10.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Triceps Dip (Assisted)",1,45.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Triceps Dip (Assisted)",3,50.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Triceps Dip (Assisted)",2,45.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Pull Up (Assisted)",1,45.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Pull Up (Assisted)",3,50.0,8.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Pull Up (Assisted)",2,45.0,8.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Lateral Raise (Dumbbell)",3,7.5,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Lateral Raise (Dumbbell)",2,7.5,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Lateral Raise (Dumbbell)",1,7.5,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Leg Press",4,257.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Leg Press",3,257.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Leg Press",2,257.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Leg Press",1,257.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",1,100.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",4,100.0,6.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",2,100.0,10.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",5,90.0,7.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",3,100.0,10.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Calf Raise (Machine)",3,280.0,10.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Calf Raise (Machine)",1,260.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Calf Raise (Machine)",2,260.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Iso-Lateral Chest Press (Machine)",1,70.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Iso-Lateral Chest Press (Machine)",3,115.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Iso-Lateral Chest Press (Machine)",2,90.0,12.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Bench Press (Dumbbell)",4,80.0,8.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Bench Press (Dumbbell)",1,70.0,12.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Bench Press (Dumbbell)",2,80.0,12.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Bench Press (Dumbbell)",3,80.0,8.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Incline Curl (Dumbbell)",2,20.0,9.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Incline Curl (Dumbbell)",3,20.0,8.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Incline Curl (Dumbbell)",1,20.0,12.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Triceps Extension",3,27.5,9.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Triceps Extension",1,32.5,9.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Triceps Extension",2,32.5,7.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Seated Overhead Press (Dumbbell)",2,50.0,11.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Seated Overhead Press (Dumbbell)",3,50.0,9.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Seated Overhead Press (Dumbbell)",1,40.0,12.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Bench Press (Barbell)",1,65.0,12.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Bench Press (Barbell)",2,95.0,12.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Bench Press (Barbell)",4,105.0,6.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Bench Press (Barbell)",5,105.0,4.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Bench Press (Barbell)",3,105.0,7.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Triceps Extension",2,27.5,9.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Triceps Extension",3,27.5,9.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Triceps Extension",1,27.5,8.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Bicep Curl (Cable)",2,17.5,7.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Bicep Curl (Cable)",3,15.0,12.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Bicep Curl (Cable)",1,17.5,12.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Bicep Curl (Cable)",4,15.0,8.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Lat Pulldown (Cable)",4,90.0,6.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Lat Pulldown (Cable)",3,85.0,12.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Lat Pulldown (Cable)",2,85.0,12.0,0,0.0,
2023-11-15 06:54:17,"Arm Day Copy",1h 7min,"Lat Pulldown (Cable)",1,70.0,12.0,0,0.0,
2023-11-16 07:08:06,"Leg Day🦵",41min,"Leg Press",1,167.0,12.0,0,0.0,
2023-11-16 07:08:06,"Leg Day🦵",41min,"Leg Press",2,257.0,12.0,0,0.0,
2023-11-16 07:08:06,"Leg Day🦵",41min,"Leg Press",3,307.0,12.0,0,0.0,
2023-11-16 07:08:06,"Leg Day🦵",41min,"Leg Press",4,307.0,12.0,0,0.0,
2023-11-16 07:08:06,"Leg Day🦵",41min,"Leg Press",5,307.0,12.0,0,0.0,
2023-11-16 07:08:06,"Leg Day🦵",41min,"Seated Leg Curl (Machine)",3,100.0,8.0,0,0.0,
2023-11-16 07:08:06,"Leg Day🦵",41min,"Seated Leg Curl (Machine)",2,100.0,12.0,0,0.0,
2023-11-16 07:08:06,"Leg Day🦵",41min,"Seated Leg Curl (Machine)",1,90.0,12.0,0,0.0,
2023-11-16 07:08:06,"Leg Day🦵",41min,"Seated Calf Raise (Machine)",1,240.0,12.0,0,0.0,
2023-11-16 07:08:06,"Leg Day🦵",41min,"Seated Calf Raise (Machine)",3,280.0,10.0,0,0.0,
2023-11-16 07:08:06,"Leg Day🦵",41min,"Seated Calf Raise (Machine)",2,260.0,12.0,0,0.0,
2023-11-18 13:45:53,"Pull Day💪",1h 39min,"Bicep Curl (Cable)",1,20.0,12.0,0,0.0,
2023-11-18 13:45:53,"Pull Day💪",1h 39min,"Bicep Curl (Cable)",3,25.0,10.0,0,0.0,
2023-11-18 13:45:53,"Pull Day💪",1h 39min,"Bicep Curl (Cable)",4,25.0,10.0,0,0.0,
2023-11-18 13:45:53,"Pull Day💪",1h 39min,"Bicep Curl (Cable)",2,25.0,12.0,0,0.0,
2023-11-18 13:45:53,"Pull Day💪",1h 39min,"Lat Pulldown (Cable)",2,75.0,6.0,0,0.0,
2023-11-18 13:45:53,"Pull Day💪",1h 39min,"Lat Pulldown (Cable)",3,70.0,12.0,0,0.0,
2023-11-18 13:45:53,"Pull Day💪",1h 39min,"Lat Pulldown (Cable)",1,70.0,12.0,0,0.0,
2023-11-18 13:45:53,"Pull Day💪",1h 39min,"Lat Pulldown (Cable)",4,75.0,9.0,0,0.0,
2023-11-18 13:45:53,"Pull Day💪",1h 39min,"Incline Row (Dumbbell)",2,15.0,12.0,0,0.0,
2023-11-18 13:45:53,"Pull Day💪",1h 39min,"Incline Row (Dumbbell)",1,10.0,12.0,0,0.0,
2023-11-18 13:45:53,"Pull Day💪",1h 39min,"Incline Row (Dumbbell)",3,15.0,12.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Bench Press (Barbell)",1,65.0,8.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Bench Press (Barbell)",4,105.0,7.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Bench Press (Barbell)",5,95.0,8.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Bench Press (Barbell)",2,95.0,8.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Bench Press (Barbell)",3,105.0,5.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Shoulder Press (Machine)",3,60.0,10.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Shoulder Press (Machine)",1,50.0,12.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Shoulder Press (Machine)",2,60.0,10.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Chest Press (Machine)",3,100.0,8.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Chest Press (Machine)",2,100.0,12.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Chest Press (Machine)",1,70.0,12.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Lateral Raise (Dumbbell)",1,10.0,12.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Cable Kickback",3,10.0,20.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Cable Kickback",1,10.0,20.0,0,0.0,
2023-11-19 14:35:15,"Push Day😩",2h 4min,"Cable Kickback",2,10.0,20.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Leg Press",3,307.0,12.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Leg Press",1,167.0,12.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Leg Press",5,307.0,12.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Leg Press",4,307.0,12.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Leg Press",2,307.0,12.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Lying Leg Curl (Machine)",5,100.0,8.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Lying Leg Curl (Machine)",3,110.0,9.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Lying Leg Curl (Machine)",2,100.0,12.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Lying Leg Curl (Machine)",1,90.0,12.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Lying Leg Curl (Machine)",4,110.0,8.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Seated Calf Raise (Plate Loaded)",1,95.0,12.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Seated Calf Raise (Plate Loaded)",4,115.0,20.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Seated Calf Raise (Plate Loaded)",2,115.0,12.0,0,0.0,
2023-11-20 18:12:24,"Leg Day🦵",1h 10min,"Seated Calf Raise (Plate Loaded)",3,135.0,12.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Pull Up (Assisted)",3,35.0,6.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Pull Up (Assisted)",4,45.0,6.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Pull Up (Assisted)",2,35.0,9.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Pull Up (Assisted)",1,35.0,9.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Incline Curl (Dumbbell)",4,15.0,11.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Incline Curl (Dumbbell)",1,20.0,12.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Incline Curl (Dumbbell)",2,20.0,10.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Incline Curl (Dumbbell)",3,20.0,7.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Lat Pulldown (Cable)",1,55.0,12.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Lat Pulldown (Cable)",2,70.0,12.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Lat Pulldown (Cable)",3,85.0,8.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Incline Row (Dumbbell)",2,20.0,12.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Incline Row (Dumbbell)",3,20.0,10.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Incline Row (Dumbbell)",1,15.0,12.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Bent Over Row - Underhand (Barbell)",1,30.0,12.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Bent Over Row - Underhand (Barbell)",2,30.0,12.0,0,0.0,
2023-11-22 19:19:00,"Pull Day💪",1h 16min,"Bent Over Row - Underhand (Barbell)",3,30.0,12.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Bench Press (Barbell)",2,115.0,8.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Bench Press (Barbell)",5,115.0,5.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Bench Press (Barbell)",1,45.0,12.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Bench Press (Barbell)",4,125.0,3.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Bench Press (Barbell)",3,115.0,8.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Overhead Press (Barbell)",2,50.0,10.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Overhead Press (Barbell)",3,50.0,5.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Overhead Press (Barbell)",1,50.0,9.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Chest Dip (Assisted)",2,45.0,8.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Chest Dip (Assisted)",3,50.0,7.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Chest Dip (Assisted)",1,45.0,12.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Skullcrusher (Barbell)",1,30.0,12.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Skullcrusher (Barbell)",3,40.0,8.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Skullcrusher (Barbell)",2,40.0,12.0,0,0.0,
2023-11-26 14:45:14,"Push Day😩",1h 29min,"Lateral Raise (Dumbbell)",3,10.0,12.0,0,0.0,
